,Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal
0,1503960366,04/12/2016,81,20,0.333333,373
1,1503960366,04/12/2016,61,8,0.133333,160
2,1503960366,04/12/2016,59,7,0.116667,151
3,1503960366,04/12/2016,47,0,0.0,0
4,1503960366,04/12/2016,48,0,0.0,0
5,1503960366,04/12/2016,48,0,0.0,0
6,1503960366,04/12/2016,48,0,0.0,0
7,1503960366,04/12/2016,47,0,0.0,0
8,1503960366,04/12/2016,68,13,0.216667,250
9,1503960366,04/12/2016,141,30,0.5,1864
10,1503960366,04/12/2016,99,29,0.483333,676
11,1503960366,04/12/2016,76,12,0.2,360
12,1503960366,04/12/2016,73,11,0.183333,253
13,1503960366,04/12/2016,66,6,0.1,221
14,1503960366,04/12/2016,110,36,0.6,1166
15,1503960366,04/12/2016,151,58,0.966667,2063
16,1503960366,04/12/2016,76,13,0.216667,344
17,1503960366,04/12/2016,83,16,0.266667,489
18,1503960366,04/12/2016,124,29,0.483333,1386
19,1503960366,04/12/2016,104,39,0.65,558
20,1503960366,04/12/2016,132,41,0.683333,1733
21,1503960366,04/12/2016,100,31,0.516667,684
22,1503960366,04/12/2016,65,9,0.15,89
23,1503960366,04/12/2016,81,21,0.35,338
24,1503960366,04/13/2016,69,14,0.233333,144
25,1503960366,04/13/2016,48,0,0.0,0
26,1503960366,04/13/2016,47,0,0.0,0
27,1503960366,04/13/2016,53,4,0.066667,36
28,1503960366,04/13/2016,47,0,0.0,0
29,1503960366,04/13/2016,47,0,0.0,0
30,1503960366,04/13/2016,48,0,0.0,0
31,1503960366,04/13/2016,59,8,0.133333,126
32,1503960366,04/13/2016,69,12,0.2,275
33,1503960366,04/13/2016,136,27,0.45,1679
34,1503960366,04/13/2016,77,15,0.25,295
35,1503960366,04/13/2016,84,16,0.266667,524
36,1503960366,04/13/2016,82,15,0.25,486
37,1503960366,04/13/2016,72,10,0.166667,302
38,1503960366,04/13/2016,128,46,0.766667,1577
39,1503960366,04/13/2016,79,13,0.216667,493
40,1503960366,04/13/2016,71,10,0.166667,299
41,1503960366,04/13/2016,87,23,0.383333,695
42,1503960366,04/13/2016,118,25,0.416667,1343
43,1503960366,04/13/2016,73,13,0.216667,258
44,1503960366,04/13/2016,47,0,0.0,0
45,1503960366,04/13/2016,48,0,0.0,0
46,1503960366,04/13/2016,74,11,0.183333,437
47,1503960366,04/13/2016,135,56,0.933333,1766
48,1503960366,04/14/2016,56,4,0.066667,81
49,1503960366,04/14/2016,54,3,0.05,58
50,1503960366,04/14/2016,47,0,0.0,0
51,1503960366,04/14/2016,47,0,0.0,0
52,1503960366,04/14/2016,47,0,0.0,0
53,1503960366,04/14/2016,47,0,0.0,0
54,1503960366,04/14/2016,47,0,0.0,0
55,1503960366,04/14/2016,47,0,0.0,0
56,1503960366,04/14/2016,47,0,0.0,0
57,1503960366,04/14/2016,93,14,0.233333,902
